symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2024-01-12 00:00:00+00:00,185.92,186.74,185.19,186.06,40477782,185.4307719,186.2486142,184.7026929,185.5704036,40477782,0,1
AAPL,2024-01-16 00:00:00+00:00,183.63,184.26,180.934,182.16,65603041,183.1467978,183.7751401,180.4578921,181.680666,65603041,0,1
AAPL,2024-01-17 00:00:00+00:00,182.68,182.93,180.3,181.27,47317433,182.1992977,182.4486398,179.8255604,180.7930079,47317433,0,1
AAPL,2024-01-18 00:00:00+00:00,188.63,189.14,185.83,186.09,78005754,188.1336409,188.6422989,185.3410088,185.6003246,78005754,0,1
AAPL,2024-01-19 00:00:00+00:00,191.56,191.95,188.82,189.33,68902985,191.0559309,191.4449047,188.3231409,188.8317989,68902985,0,1
AAPL,2024-01-22 00:00:00+00:00,193.89,195.33,192.26,192.3,60133852,193.3797998,194.8160106,191.7540889,191.7939837,60133852,0,1
AAPL,2024-01-23 00:00:00+00:00,195.18,195.75,193.8299,195.02,42355590,194.6664053,195.2349054,193.3198579,194.5068263,42355590,0,1
AAPL,2024-01-24 00:00:00+00:00,194.5,196.38,194.34,195.42,53463269,193.9881946,195.8632476,193.8286156,194.9057737,53463269,0,1
AAPL,2024-01-25 00:00:00+00:00,194.17,196.2675,193.1125,195.22,54822126,193.659063,195.7510436,192.6043457,194.7063,54822126,0,1
AAPL,2024-01-26 00:00:00+00:00,192.42,194.76,191.94,194.27,44594011,191.9136679,194.2475105,191.434931,193.7587998,44594011,0,1
AAPL,2024-01-29 00:00:00+00:00,191.73,192.2,189.58,192.01,47145622,191.2254836,191.6942468,189.0811411,191.5047468,47145622,0,1
AAPL,2024-01-30 00:00:00+00:00,188.04,191.8,187.47,190.94,55859370,187.5451934,191.2952994,186.9766933,190.4375624,55859370,0,1
AAPL,2024-01-31 00:00:00+00:00,184.4,187.095,184.35,187.04,55467803,183.9147717,186.6026801,183.8649032,186.5478248,55467803,0,1
AAPL,2024-02-01 00:00:00+00:00,186.86,186.95,183.82,183.985,64885408,186.3682984,186.4580616,183.3362979,183.5008637,64885408,0,1
AAPL,2024-02-02 00:00:00+00:00,185.85,187.33,179.25,179.86,102551680,185.3609561,186.8370617,178.7783233,179.3867182,102551680,0,1
AAPL,2024-02-05 00:00:00+00:00,187.68,189.25,185.84,188.15,69668820,187.1861407,188.7520094,185.3509825,187.6549039,69668820,0,1
AAPL,2024-02-06 00:00:00+00:00,189.3,189.31,186.7695,186.86,43490759,188.8018779,188.8118515,186.2780366,186.3682984,43490759,0,1
AAPL,2024-02-07 00:00:00+00:00,189.41,191.05,188.61,190.64,53438955,188.9115884,190.5472729,188.1136935,190.1383518,53438955,0,1
AAPL,2024-02-08 00:00:00+00:00,188.32,189.535,187.35,189.385,40962046,187.8244566,189.0362595,186.8570091,188.8866542,40962046,0,1
AAPL,2024-02-09 00:00:00+00:00,188.85,189.99,188,188.65,45155216,188.5924304,189.7308756,187.7435897,188.3927032,45155216,0.24,1
AAPL,2024-02-12 00:00:00+00:00,187.15,188.67,186.79,188.415,41781934,186.894749,188.4126759,186.53524,188.1580237,41781934,0,1
AAPL,2024-02-13 00:00:00+00:00,185.04,186.21,183.5128,185.77,56529529,184.7876268,185.9560311,183.2625098,185.5166312,56529529,0,1
AAPL,2024-02-14 00:00:00+00:00,184.15,185.53,182.44,185.32,54630517,183.8988407,185.2769585,182.1911729,185.067245,54630517,0,1
AAPL,2024-02-15 00:00:00+00:00,183.86,184.49,181.35,183.55,65434496,183.6092362,184.238377,181.1026596,183.299659,65434496,0,1
AAPL,2024-02-16 00:00:00+00:00,182.31,184.85,181.665,183.42,49752465,182.0613502,184.597886,181.41723,183.1698363,49752465,0,1
AAPL,2024-02-20 00:00:00+00:00,181.56,182.43,180,181.79,53665553,181.3123732,182.1811866,179.7545008,181.5420595,53665553,0,1
AAPL,2024-02-21 00:00:00+00:00,182.32,182.8888,180.66,181.94,41529674,182.0713366,182.6393608,180.4136007,181.6918549,41529674,0,1
AAPL,2024-02-22 00:00:00+00:00,184.37,184.955,182.46,183.48,52292208,184.1185406,184.7027428,182.2111457,183.2297545,52292208,0,1
AAPL,2024-02-23 00:00:00+00:00,182.52,185.04,182.23,185.01,45119677,182.2710638,184.7876268,181.9814594,184.7576678,45119677,0,1
AAPL,2024-02-26 00:00:00+00:00,181.16,182.76,180.65,182.24,40867421,180.9129187,182.5107365,180.4036143,181.9914457,40867421,0,1
AAPL,2024-02-27 00:00:00+00:00,182.63,183.9225,179.56,181.1,54318851,182.3809138,183.671651,179.3151009,180.8530005,54318851,0,1
AAPL,2024-02-28 00:00:00+00:00,181.42,183.12,180.13,182.51,48953939,181.1725641,182.8702455,179.8843235,182.2610775,48953939,0,1
AAPL,2024-02-29 00:00:00+00:00,180.75,182.57,179.53,181.27,136682597,180.5034779,182.3209956,179.2851418,181.0227687,136682597,0,1
AAPL,2024-03-01 00:00:00+00:00,179.66,180.53,177.38,179.55,73563082,179.4149645,180.283778,177.1380742,179.3051146,73563082,0,1
AAPL,2024-03-04 00:00:00+00:00,175.1,176.9,173.79,176.15,81510101,174.8611839,176.6587289,173.5529705,175.9097518,81510101,0,1
AAPL,2024-03-05 00:00:00+00:00,170.12,172.04,169.62,170.76,95132355,169.887976,171.8053573,169.3886579,170.5271031,95132355,0,1
AAPL,2024-03-06 00:00:00+00:00,169.12,171.24,168.68,171.06,68587707,168.8893399,171.0064484,168.44994,170.8266939,68587707,0,1
AAPL,2024-03-07 00:00:00+00:00,169,170.73,168.49,169.15,71765061,168.7695035,170.497144,168.2601991,168.919299,71765061,0,1
AAPL,2024-03-08 00:00:00+00:00,170.73,173.7,168.94,169,76267041,170.497144,173.4630933,168.7095854,168.7695035,76267041,0,1
AAPL,2024-03-11 00:00:00+00:00,172.75,174.38,172.05,172.94,58929918,172.514389,174.1421658,171.8153437,172.7041298,58929918,0,1
AAPL,2024-03-12 00:00:00+00:00,173.23,174.03,171.01,173.15,59544927,172.9937343,173.7926432,170.7767621,172.9138434,59544927,0,1
AAPL,2024-03-13 00:00:00+00:00,171.13,173.185,170.76,172.77,51948951,170.8965985,172.9487957,170.5271031,172.5343617,51948951,0,1
AAPL,2024-03-14 00:00:00+00:00,173,174.3078,172.05,172.91,72571635,172.764048,174.0700643,171.8153437,172.6741708,72571635,0,1
